Type	Name	DRINK_ID	Premium	Description	Bar	Unique
Bottles	Moët & Chandon Imperial Rosé Brut	aQWsrdAsQB	TRUE	Champagne	The Hideaway Bar	TRUE
Red Wine	Murphy-Goode, Cabernet Sauvignon	YAGMtwbLTX	FALSE	California, USA	1400 Lobby Bar	FALSE
Red Wine	Murphy-Goode, Cabernet Sauvignon	YAGMtwbLTX	FALSE	California, USA	Dueling Pianos	FALSE
Rum	Myers’s Original Dark	xX3CtCuqY1	FALSE	—	Music Hall	FALSE
Rum	Myers’s Original Dark	xX3CtCuqY1	FALSE	—	The Overlook Bar	FALSE
Beer	Negra Modelo	iy0PK4srk5	FALSE	Vienna lager 5.4% ABV	Playmakers Sports Bar	TRUE
Beer	New Belgium Voodoo Ranger Juicy Haze IPA	e4GFqnRTCO	FALSE	USA, Hazy IPA 7.5% ABV	Playmakers Sports Bar	FALSE
Beer	New Belgium Voodoo Ranger Juicy Haze IPA	e4GFqnRTCO	FALSE	USA, Hazy IPA 7.5% ABV	Point and Feather Pub	FALSE
Beer	Newcastle Brown Ale	VJ2Wnq7PPT	FALSE	English brown ale 4.7% ABV	Playmakers Sports Bar	FALSE
Beer	Newcastle Brown Ale	VJ2Wnq7PPT	FALSE	English brown ale 4.7% ABV	Point and Feather Pub	FALSE
Zero Proof	O’Doul’s 0.0	RL1aFImxHG	FALSE	Non-alcoholic	Dueling Pianos	FALSE
Zero Proof	O’Doul’s 0.0	RL1aFImxHG	FALSE	Non-alcoholic	Music Hall	FALSE
Zero Proof	Ocean Potion Lemonade	kaD2QGWPxi	FALSE	Butterfly pea tea, passion fruit, coconut, banana and ginger syrups, pineapple juice, nutmeg and house-made lemonade	The Lemon Post Bar	TRUE
Cocktail	Oh Mai Gawd	zoxPNHculQ	FALSE	Bacardi Reserva Ocho rum, Angostura 5 Yr rum, Bitter Bianco liqueur, passion fruit and guava syrup, pineapple, lime and orange juices and Domaine Chandon	The Hideaway Bar	TRUE
Soft Mixer	Orange Juice	UVh5n8zSQC	FALSE	—	Aquadome Market Bar	FALSE
Soft Mixer	Orange Juice	UVh5n8zSQC	FALSE	—	The Overlook Bar	FALSE
Soft Mixer	Orange Juice	UVh5n8zSQC	FALSE	—	Trellis Bar	FALSE
Cocktail	Palm Breeze	5YGbo4azsp	FALSE	Ketel One Botanical Peach & Orange Blossom vodka, passion fruit and guava syrup, pineapple juice, lime juice and Domaine Chandon	The Hideaway Bar	TRUE
Cocktail	Paloma	3wjtvcPjBt	FALSE	Patrón Silver tequila and lime juice topped with Q sparkling grapefruit	Boleros	TRUE
Cocktail	Papa Jac	Inp0nAJiwU	FALSE	Bacardi Superior rum, passion fruit syrup and lime juice	Aquadome Market Bar	FALSE
Cocktail	Papa Jac	Inp0nAJiwU	FALSE	Bacardi Superior rum, passion fruit syrup and lime juice	The Lime and Coconut Bars	FALSE
Cocktail	Papa Jac	Inp0nAJiwU	FALSE	Bacardi Superior rum, passion fruit syrup and lime juice	The Overlook Bar	FALSE
Cocktail	Papa Jac	Inp0nAJiwU	FALSE	Bacardi Superior rum, passion fruit syrup and lime juice	Trellis Bar	FALSE
Cocktail	Parrot Punch	7YxKspyvKA	FALSE	Captain Morgan Spiced rum, Campari, pineapple juice, lemon juice and simple syrup	Schooner Bar	FALSE
Cocktail	Parrot Punch	7YxKspyvKA	FALSE	Captain Morgan Spiced rum, Campari, pineapple juice, lemon juice and simple syrup	Schooner Bar	FALSE
Beer	Passion Fruite Orange Guava IPA	vfG7zb13Sm	FALSE	American IPA 6.5% ABV	Cantina Fresca	TRUE
Cocktail	Passion Spritz	O3nf9RA6fN	FALSE	Aperol, vodka, passion fruit syrup, lemon juice and sparkling wine	Aquadome Market Bar	FALSE
Cocktail	Passion Spritz	O3nf9RA6fN	FALSE	Aperol, vodka, passion fruit syrup, lemon juice and sparkling wine	The Lime and Coconut Bars	FALSE
Cocktail	Passion Spritz	O3nf9RA6fN	FALSE	Aperol, vodka, passion fruit syrup, lemon juice and sparkling wine	The Overlook Bar	FALSE
Cocktail	Passion Spritz	O3nf9RA6fN	FALSE	Aperol, vodka, passion fruit syrup, lemon juice and sparkling wine	Trellis Bar	FALSE
Zero Proof	Passion Starlight	hSn51HAmO8	FALSE	Lemon juice, pineapple juice, lemonade, passion fruit syrup and mint	1400 Lobby Bar	FALSE
Zero Proof	Passion Starlight	hSn51HAmO8	FALSE	Lemon juice, pineapple juice, lemonade, passion fruit syrup and mint	Boleros	FALSE
Zero Proof	Passion Starlight	hSn51HAmO8	FALSE	Lemon juice, pineapple juice, lemonade, passion fruit syrup and mint	Point and Feather Pub	FALSE
Tequila & Mezcal	Patrón Añejo	C6XJ0W9AAR	FALSE	—	Aquadome Market Bar	FALSE
Tequila & Mezcal	Patrón Añejo	C6XJ0W9AAR	FALSE	—	Music Hall	FALSE
Tequila & Mezcal	Patrón Añejo	C6XJ0W9AAR	FALSE	—	The Overlook Bar	FALSE
Tequila & Mezcal	Patrón Añejo	C6XJ0W9AAR	FALSE	—	Trellis Bar	FALSE
Tequila & Mezcal	Patrón Reposado	9BE8Ys5xH0	FALSE	—	Aquadome Market Bar	FALSE
Tequila & Mezcal	Patrón Reposado	9BE8Ys5xH0	FALSE	—	Music Hall	FALSE
Tequila & Mezcal	Patrón Reposado	9BE8Ys5xH0	FALSE	—	The Overlook Bar	FALSE
Tequila & Mezcal	Patrón Reposado	9BE8Ys5xH0	FALSE	—	Trellis Bar	FALSE
Tequila & Mezcal	Patrón Silver	GB0eA8R2Nm	FALSE	—	Aquadome Market Bar	FALSE
Tequila & Mezcal	Patrón Silver	GB0eA8R2Nm	FALSE	—	Music Hall	FALSE
Tequila & Mezcal	Patrón Silver	GB0eA8R2Nm	FALSE	—	The Overlook Bar	FALSE
Tequila & Mezcal	Patrón Silver	GB0eA8R2Nm	FALSE	—	Trellis Bar	FALSE
Beer	Paulaner Salvator Double Bock	RLSHiAhKaL	FALSE	Germany, doppelbock	Point and Feather Pub	TRUE
Beer	Paulaner Weiss	CDZ7qmnTKE	FALSE	—	Aquadome Market Bar	FALSE
Beer	Paulaner Weiss	CDZ7qmnTKE	FALSE	—	Music Hall	FALSE
Beer	Paulaner Weiss	CDZ7qmnTKE	FALSE	—	Schooner Bar	FALSE
Beer	Paulaner Weiss	CDZ7qmnTKE	FALSE	—	The Overlook Bar	FALSE
Beer	Paulaner Weiss	CDZ7qmnTKE	FALSE	—	Trellis Bar	FALSE
Beer	Paulaner Weiss	CDZ7qmnTKE	FALSE	—	Dueling Pianos	FALSE
Cocktail	Peachy Passion	XLyiqmAhiF	FALSE	Ketel One Botanical Peach & Orange Blossom vodka, Aperol, banana purée and house-made lemonade	The Lemon Post Bar	TRUE
Cocktail	Peanut Butter Tropic	pjGbMp1lWy	FALSE	Skrewball Peanut Butter whiskey, pineapple juice, bitters and lemon juice	Schooner Bar	FALSE
